name,email,salary
Andrea Kelly,williamsonmichelle@hotmail.com,1000
Vanessa King,lauren00@yahoo.com,1006
Stacy Patterson,lroberts@edwards-perkins.com,20221
Andrea Weber,xgomez@allen.com,43261
Melissa Owens,eric53@gmail.com,43438
Justin Turner,michelle39@yahoo.com,1000
Matthew Brown,jeremiah85@butler-rocha.biz,15844
David Jones,benjamin18@hotmail.com,31612
Kerry Brennan,dennis93@yahoo.com,9857
Patricia Garrett,gomezphilip@williams.com,14341
Samuel Johnson,ejoseph@scott.com,33862
Susan Douglas,pearsonsandy@mcfarland-marquez.info,1000
John Johnson,geoffreyramirez@johnson.com,34273
Mr. Robert Frazier,welchmichael@conner.biz,6645
Catherine Clark,gthomas@jenkins-white.com,8177
Michael Mcgrath,anthonymorris@yahoo.com,72539
Jessica Rivera,robertsbridget@gmail.com,34420
Toni Garcia,brianna73@yahoo.com,42678
James Burns PhD,timothy97@wright-oliver.com,27966
Warren Carr,michael71@gmail.com,18798
Christopher Dominguez,qodonnell@daniels.com,45832
Kayla Parks,robin30@hotmail.com,11197
Adam Black,molinajames@perkins-blackburn.org,32759
Frank Elliott,smithmadison@bishop-rivera.com,29981
Juan Kim,stevenyoung@yahoo.com,12315
Kelly Thompson,nicholasjohnson@moreno.com,24944
Zachary Martinez,ehuerta@gmail.com,26907
Rhonda Huff,crystalschmitt@miller.info,38015
Jessica Garcia,westbrian@torres.com,17662
Rebecca Stuart,kingoscar@munoz.com,32959
Tiffany Huynh,xknight@terry.biz,20965
Karen Brown,katherinemcbride@yahoo.com,1000
Stephanie Johnson,christine84@mayer.com,14078
Brett White,hayeswalter@yahoo.com,1000
April Hurst,beardshannon@yahoo.com,1000
Christopher Duncan,davidwilliams@gmail.com,15371
Haley Pierce,garciajohn@hotmail.com,1000
Melinda Robinson MD,wmckinney@castillo-rose.com,21539
Karen Reid,fitzgeralddaniel@moore-gilbert.org,9910
Louis Miller,tperez@cardenas.com,20725
Jason Rodriguez,jessicabradley@roberts.info,3413
Tyler Nielsen,emartin@phillips-smith.com,1000
Charles Sanders,victor36@gmail.com,23815
Michael Tucker,griffinbethany@ryan-castillo.com,51333
Eric Hogan,thayes@jones.net,1000
Chelsea Rogers,canderson@gmail.com,26699
Kathryn Dorsey,andrea87@kelley-armstrong.com,1000
Chad Greene,derekdavis@yahoo.com,40470
Tiffany Suarez,loriharper@yahoo.com,54284
Alex Vang,gomezchristina@gmail.com,1000
Michelle Richard,chase57@melendez-scott.info,32796
Erica Elliott,mhenry@hotmail.com,37662
Vanessa Miller,udavis@brown-frost.com,50856
Ethan Reeves,deborah18@peters-barnes.com,10353
Lisa Molina,kjohnson@crawford-benitez.com,20175
Jonathan Andrews,garciajulia@hotmail.com,36422
Cameron Fowler,katherinemontgomery@hotmail.com,7585
Maria Weber,wallnicholas@hotmail.com,1000
Kyle Simpson,ashley72@hotmail.com,1000
Christopher Caldwell,beckcharles@dillon.com,37692
Nicole Phelps,hannah94@martinez.com,1011
Sandra Wilson,ryanyu@grant.com,1000
Nicole Smith,carterkaren@williamson.com,4863
William Edwards,cwalsh@friedman-cruz.com,34967
Amy Watson,adam36@gonzalez.com,18650
Brandon Navarro,kellycarmen@gmail.com,1000
Melissa Fisher,tanyaterrell@wilson.com,9764
Kathleen Patterson,jbrown@yahoo.com,6870
Darlene Cole,rmontoya@byrd.org,2773
Brittany Hall,katherine37@gmail.com,16760
Cory Cooper,zimmermananthony@smith.info,21568
Judy Hurley,eric68@taylor-powers.com,14200
Gregory Matthews,sharonschwartz@hotmail.com,29471
Natalie Williams,johnny76@yahoo.com,25120
Dakota Mann,omarramirez@ellis.com,8457
John Carter,cmedina@yahoo.com,1000
Amanda Holloway,zsmith@yahoo.com,51495
Blake Webster,tonya16@johnson-dunlap.com,33943
Bryan Zamora,josephjeremy@williams.biz,14372
Samuel Rasmussen,zwalker@collins-thompson.info,1000
Craig Gonzalez,blackadam@yahoo.com,48237
Hunter Taylor MD,vjohnson@gmail.com,2269
Holly Gray,scottjordan@yahoo.com,19485
Michael Diaz,edwardsashley@hotmail.com,7432
Joseph Mcclure PhD,juliecampbell@robinson.net,12511
Claire White,allenjennifer@hotmail.com,1000
Kristopher Lee,littlebryan@moore.org,46012
Allen Gilbert,catherine49@hubbard.biz,40660
Emily Wright,robinsonrenee@gmail.com,51725
Stacy Aguirre,mark46@hotmail.com,9024
Joseph Wilson,bradleykelly@nichols.com,20547
Tyrone Gonzalez,christopher19@hotmail.com,50557
Ashley Wright,lisaconrad@quinn.net,9133
Heather Wilson,pdavila@hotmail.com,1000
Kayla Bailey,russellclayton@hotmail.com,16687
Tasha Bailey,xcoleman@freeman.com,28029
Gregory Vance,velasquezjaclyn@yahoo.com,20034
Samantha Swanson,fmartin@edwards.com,62149
Amy Kelly,hannahsmith@yahoo.com,30696
Alan Cook,lindafrazier@gmail.com,34860
Robyn Morales,ricecurtis@yahoo.com,18842
Michael Mccoy,obryant@mcconnell.com,32513
William Long,evansregina@gmail.com,30108
Brianna Mack,gsaunders@davidson-williams.com,28569
