name,email,salary
Elizabeth Payne,ftorres@yahoo.com,1000
Sarah Fox,robinadams@combs.biz,2089
Anthony Gates,brianknight@gmail.com,1000
Kristina Sparks,colleen56@edwards.com,2405
Laura Gordon,amandabenjamin@yahoo.com,1057
Jeffrey Barrett,taylorryan@williams.com,2062
Russell Taylor,todd49@hotmail.com,1000
Heather Ryan,fmora@dudley.net,3649
John Sanchez,robert89@ray.biz,1631
Amber Garcia,dwatson@gmail.com,2751
Jamie Anderson,collinsrebekah@nicholson.org,2648
Shawn Hodges,danielevans@gmail.com,1000
Tara Myers,gloveralexandria@yahoo.com,2079
Margaret Pena,michaelfigueroa@davenport.com,3298
Mary Thomas,rebeccaschwartz@frank.biz,1000
Katelyn Erickson,gcole@schmidt.com,1110
Kathleen Gutierrez,qwood@berg-daugherty.com,1000
Sandra Watkins,lgeorge@williams-williams.com,1039
Anthony Gonzalez,thomastimothy@yahoo.com,1000
Brett Wise,johnlucas@ward.com,1992
Joseph Gallagher,rebeccareed@cline.org,1000
David Marquez,charles01@kennedy.net,2219
Kenneth Campbell,mflores@mora.com,2688
Daniel Becker,gramos@davenport.org,2674
Sandra Bautista,johnstoncarlos@king.com,1686
Katie Sampson,dawsonstephanie@yahoo.com,2392
Hector Martinez,david63@moore.com,1000
Evan Steele,tstevenson@yahoo.com,2843
Carlos Mann,xwilliams@hall-young.com,7454
Walter Washington,kimberly38@hotmail.com,1000
Casey Flowers Jr.,bennettsara@yahoo.com,1000
Anna Krueger,morenochristopher@fowler-gibson.info,1187
Henry Wagner,trodriguez@young.info,5335
Penny Warren,montgomeryroger@hotmail.com,2944
Clinton Garner,doris33@hotmail.com,3937
Bradley Weaver,hamptonmichele@caldwell.com,4585
Karen Olsen,julie50@espinoza-steele.info,5240
Nicholas Chambers,kaylacook@yahoo.com,1268
William Reynolds,scott05@gmail.com,3963
Carlos Cox,wsmith@powell.com,3804
Danielle Johnson,jesse27@hotmail.com,2287
John Andrade,jonesnicole@alexander.com,1993
Benjamin Kim,rebeccayoung@smith.com,4860
Lauren Chavez,floreschelsea@higgins.net,3367
